Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Corrode
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Lotus
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Sunset
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Bind
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Abyss
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Haven
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Sunset
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Abyss
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Lotus
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Haven
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Sunset
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Abyss
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Lotus
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Corrode
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Abyss
