Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Xi Lai Gaming,ban,Lotus
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,ban,Abyss
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Xi Lai Gaming,pick,Bind
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,pick,Sunset
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Xi Lai Gaming,ban,Corrode
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,ban,Haven
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sentinels,ban,Ascent
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,ban,Lotus
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sentinels,pick,Corrode
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,pick,Sunset
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sentinels,ban,Bind
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,ban,Abyss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,EDward Gaming,ban,Lotus
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Mega Minors,ban,Sunset
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,EDward Gaming,pick,Abyss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Mega Minors,pick,Corrode
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,EDward Gaming,ban,Ascent
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Mega Minors,ban,Bind
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,DRX,ban,Sunset
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,ban,Haven
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,DRX,pick,Abyss
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,pick,Bind
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,DRX,ban,Corrode
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,ban,Ascent
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,ban,Bind
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,T1,ban,Haven
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,pick,Lotus
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,T1,pick,Sunset
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,ban,Abyss
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,T1,ban,Corrode
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Team Heretics,ban,Abyss
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,ban,Sunset
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Team Heretics,pick,Corrode
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,pick,Lotus
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Team Heretics,ban,Bind
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,ban,Ascent
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,ban,Abyss
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,MIBR,ban,Lotus
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,pick,Haven
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,MIBR,pick,Corrode
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,ban,Ascent
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,MIBR,ban,Bind
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,FNATIC,ban,Sunset
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,ban,Bind
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,FNATIC,pick,Ascent
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,pick,Abyss
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,FNATIC,ban,Haven
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,ban,Lotus
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,GIANTX,ban,Bind
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,ban,Corrode
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,GIANTX,pick,Ascent
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,pick,Lotus
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,GIANTX,ban,Abyss
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,ban,Haven
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,ban,Sunset
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Mega Minors,ban,Abyss
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,pick,Haven
